normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
Tina 's story to the police on how she got mugged was always different and it was not consistent .,Tina 's story to the police on how she got mugged was different shades of grey as it was not consistent .,always | and,shades of grey,"[(12, 13), (14, 15)]","[(13, 17)]",2
"Even if you do n't agree with your boss ' ideas , do n't speak so direct and bluntly .","Even if you do n't agree with your boss ' ideas , do n't shoot from the hip .",speak so direct and bluntly,shoot from the hip,"[(14, 19)]","[(14, 18)]",1
I felt the chill in the temperature as autumn approaches .,I felt the chill in the air as autumn approaches .,temperature,in the air,"[(6, 7)]","[(6, 7)]",1
She is a substitute for one of my friends .,She is a dead ringer of one of my friends .,substitute for,dead ringer,"[(3, 5)]","[(3, 5)]",1
After my terrible grade in mathematics I understood what was necessary and started working harder .,After my terrible grade in mathematics I saw the light and started working harder .,understood what was necessary,see the light,"[(7, 11)]","[(7, 10)]",1
"Our company is going through tough times , but we 're not giving up ; things will surely work out .","Our company is going through tough times , but we 're hanging in there ; things will surely work out .",not giving up,hang in there,"[(11, 14)]","[(11, 14)]",1
"I do n't like what the new management has done , but give them credit , sales have improved .","I do n't like what the new management has done , but give the devil his due , sales have improved .",them credit,give the devil his due,"[(13, 15)]","[(14, 17)]",1
"It does n't matter what happens , you will always be able to trust .","It does n't matter what happens , you will always be able to count on .",trust,count on,"[(13, 14)]","[(13, 15)]",1
"If it 's not in their sight , it is not their problem , but that is not a good thing in any way .","It is out of sight , out of mind for them but that is not a good thing in any way .",If it 's | their | it | their problem,"out of sight, out of mind","[(0, 3), (5, 6), (8, 9), (11, 13)]","[(0, 1), (2, 4), (6, 11)]",4
The government has clarified for sure that the people who have been evading taxes so far will be caught very soon .,The government has clarified beyond a shadow of doubt that the people who have been evading taxes so far will be caught very soon .,for sure,beyond a shadow of doubt,"[(4, 6)]","[(4, 9)]",1
I have had to limit my spending since I lost my job at the ice cream factory .,I have had to tighten my belt since I lost my job at the ice cream factory .,limit | spending,tighten belt,"[(4, 5), (6, 7)]","[(4, 5), (6, 7)]",2
The team had a lot of fun at the corporate event .,The team had a ball at the corporate event .,lot of fun,have a ball,"[(4, 7)]","[(4, 5)]",1
"She refuses to talk every time I walk in , it is worrisome .","She clams up every time I walk in , it is worrisome .",refuses to talk,clam up,"[(1, 4)]","[(1, 3)]",1
My mom was furious about the new salary cuts rumoured to be put in place .,My mom was up in arms about the new salary cuts rumoured to be put in place .,furious,up in arms,"[(3, 4)]","[(3, 4), (5, 6)]",2
The man ate food at the buffet to his full satisfaction and He seemed really happy as he left for home .,The man ate food at the buffet to his heart 's content and He seemed really happy as he left for home .,full satisfaction,to heart's content,"[(9, 11)]","[(9, 12)]",1
The man kept showing modesty even though the whole neighbourhood is aware of his cleanliness initiatives for the society .,The man kept hiding his light under a bushel even though the whole neighbourhood is aware of his cleanliness initiatives for the society .,showing modesty,hide light under a bushel,"[(3, 5)]","[(3, 4), (5, 9)]",2
I ca n't believe that I have n't seen you in a year ! I am happy to see you .,I ca n't believe that I have n't seen you in a year ! You are a sight for sore eyes .,am happy to see,a sight for sore eyes,"[(15, 19)]","[(14, 16), (17, 21)]",2
"It seems like a great building , from a different point of view , you are displacing a lot of animals by building it .","It seems like a great building , on the other hand , you are displacing a lot of animals by building it .",from | different point | view,on the other hand,"[(7, 8), (9, 11), (12, 13)]","[(7, 11)]",3
Getting first rank was an extra enhancement .,Getting first rank was the icing on the cake .,an extra enhancement,icing on the cake,"[(4, 7)]","[(4, 9)]",1
English is accepted as the common language of much of the world today .,English is de facto the common language of much of the world today .,accepted as,de facto,"[(2, 4)]","[(2, 4)]",1
"Even though my grandmother is in her 80s , she is still full of energy .","Even though my grandmother is in her 80s , she is still full of vim and vigor .",energy,vim and vigor,"[(14, 15)]","[(14, 17)]",1
The girl was undecided which of her parents to choose during the divorce trial .,The girl was betwixt and between which of her parents to choose during the divorce trial .,undecided,betwixt and between,"[(3, 4)]","[(3, 6)]",1
"After trying for a baby for several years , Mark was happy when his wife told him she was pregnant .","After trying for a baby for several years , Mark was happy when his wife told him she had a bun in the oven .",pregnant,bun in the oven,"[(19, 20)]","[(18, 19), (20, 24)]",2
The invention of internet has changed the way we live ; it is such a great invention .,The invention of internet has changed the way we live ; it is the best thing since sliced bread .,such a great,best thing since sliced bread,"[(13, 16)]","[(14, 19)]",1
The Economic and Finance minister 's loss of rank gave her detractors great satisfaction .,The Economic and Finance minister 's fall from grace gave her detractors great satisfaction .,loss of rank,fall from grace,"[(6, 9)]","[(6, 9)]",1
That office is cruel to its employees because the boss is mean guy .,That office gives hell to its employees because the boss is mean guy .,cruel,give hell,"[(3, 4)]","[(2, 4)]",1
My sister really knows how to provoke me .,My sister really knows how to wind me up .,provoke,wind up,"[(6, 7)]","[(6, 7), (8, 9)]",2
I had to stop myself from saying something when Peter said that he was hard-working .,I had to bite my tongue when Peter said that he was hard-working .,stop myself from saying something,bite tongue,"[(3, 8)]","[(3, 6)]",1
"She has three children , but her youngest son is the the favorite .","She has three children , but her youngest son is the apple of her eye .",favorite,apple of eye,"[(12, 13)]","[(11, 13), (14, 15)]",2
I believe that digital learning is the best plan of action .,I believe that digital learning is the way forward .,best plan of action,way forward,"[(7, 11)]","[(7, 9)]",1
Our team has won eleven out of our twelve matches this season and We are enjoying good luck .,Our team has won eleven out of our twelve matches this season and We are on a roll .,enjoying good luck,on a roll,"[(15, 18)]","[(15, 18)]",1
"While we were driving down the road , a small shop selling beautiful potteries attracted my attention .","While we were driving down the road , a small shop selling beautiful potteries caught my eye .",attracted | attention,catch eye,"[(14, 15), (16, 17)]","[(14, 15), (16, 17)]",2
The lack of power has thrown us off our plans regarding our MS-PowerPoint presentation .,The lack of power has thrown a spanner in the works regarding our MS-PowerPoint presentation .,us off | plans,spanner in the works,"[(6, 8), (9, 10)]","[(6, 11)]",2
I tried to make my grandmother learn how to use a smartphone but it was just like you ca n't teach someone when they have grown up to know something else .,I tried to make my grandmother learn how to use a smartphone but it was just like you ca n't teach an old dog new tricks .,someone when they have grown up | know something else,you can't teach an old dog new tricks,"[(21, 27), (28, 31)]","[(21, 26)]",2
They were very popular when they were teenagers .,They were all the rage when they were teenagers .,very popular,all the rage,"[(2, 4)]","[(2, 5)]",1
"Realizing that they would be out of the competition if they lost this match , the players tried as hard as possible .","Realizing that they would be out of the competition if they lost this match , the players went for broke .",tried as hard as possible,go for broke,"[(17, 22)]","[(17, 20)]",1
